CT30-7103,2001,,,,,,,,,,,,,,,,,,,,,SIM,G
CT30-7083,2001,,,,,,,,,,,,,,,,,,,,,SIM,D
CT30-7073,2001,,,,,,,,,,,,,,,,,,,,,SIM,E
CT30-1053G,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-1053,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-7063,2001,,,,,,,,,,,,,,,,,,,,,SIM,D
CT30-7053,2001,,,,,,,,,,,,,,,,,,,,,SIM,E
CT30-7043,2001,,,,,,,,,SIM,4.246,SIM,4.246,,,,,,,,,,
CT30-7011,2001,,,,,,,,,,,,,,,,,,,,,SIM,G
CT30-4053,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-4043Z,2001,,,,,,,,,,,,,,,,,,,,,,
CT30-4043,2001,,,,,,,,,,,,,,,,,,,,,,
CT30-3473,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-3463,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-3453,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-3443,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-3423,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-3403,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-3383,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-3363,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-2831,2005,,,,,,,,,,,,,,,,,,,,,,
CT30-2381,2005,,,,,,,,,,,,,,,,,,,,,,
CT30-0601,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT24-7103,2001,,,,,,,,,,,,,,,,,,,,,SIM,E
CT24-7093,2001,,,,,,,,,,,,,,,,,,,,,SIM,D
CT24-7073,2001,,,,,,,,,,,,,,,,,,,,,SIM,D
CT24-7053,2001,,,,,,,,,,,,,,,,,,,,,SIM,D
CT24-7011,2005,,,,,,,,,,,,,,,,,,,,,SIM,F
CT24-7003,2001,,,,,,,,,,,,,,,,,,,,,SIM,D
CT24-7002G,2001,,,,,,,,,,,,,,,,,,,,,SIM,E
CT24-7002,2001,,,,,,,,,,,,,,,,,,,,,SIM,E
CT24-3423,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT24-2381,2005,,,,,,,,,,,,,,,,,,,,,SIM,C
CT24-2153,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT24-1993,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT24-0601,2005,,,,,,,,,,,,,,,,,,,,,SIM,C
CT24-0451,2005,,,,,,,,,,,,,,,,,,,,,SIM,C
CT24-0421,2005,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-2153,2001,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-1993,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-1983,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-1973,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-1963,2001,,,,,,,,,,,,,,,,,,,,,SIM,D
CT30-0451,2005,,,,,,,,,,,,,,,,,,,,,SIM,B
CT30-0442Z,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-0442,2001,,,,,,,,,,,,,,,,,,,,,SIM,C
CT30-0421,2005,,,,,,,,,,,,,,,,,,,,,SIM,C